sim_time,super_dense_time,controller.moveDiscreteCommand,controller.MovementArgs_target_X,controller.MovementArgs_target_Y,controller.MovementArgs_target_Z,dmodel.movediscrete,mapping.q0,mapping.q1,mapping.q2,mapping.q3,mapping.q4,mapping.q5,mapping.robotStopped,mapping.moveCompleted
53.0,1,False,1.0,13.0,0.0,True,-2.584582585426862,-1.3447161808578594,1.3616514733916034,-2.077132296922003,-0.9262832673406791,-0.8489010785605151,True,True
53.5,1,False,1.0,13.0,0.0,True,-2.584774244411582,-1.343926182664858,1.3616514733916008,-2.0773509074982215,-0.9266740392473416,-0.8492763379476451,True,True
54.0,1,False,1.0,13.0,0.0,True,-2.5847103123714605,-1.3452608025073687,1.3616514733915972,-2.077356205514379,-0.9270427812678372,-0.849542945723234,True,True
54.5,1,False,1.0,13.0,0.0,True,-2.584765439274795,-1.3437862823892832,1.3616514733915963,-2.0773374706512238,-0.9266273594659342,-0.8492080405755962,True,True
55.0,1,True,0.0,23.0,1.0,True,-2.584804854028154,-1.3456925766798138,1.3616514733915954,-2.078054544839998,-0.9270717771476216,-0.8493869830249374,True,True
55.5,1,False,0.0,23.0,1.0,True,-2.5845353899818067,-1.3485704583474494,1.3616514733915945,-2.0777417200741253,-0.9267061592199122,-0.8490846755248334,True,True
56.0,1,False,0.0,23.0,1.0,True,-2.584761598221877,-1.3452211013734798,1.3616514733915936,-2.0772677313461534,-0.926820397561003,-0.8489308879364867,False,False
56.5,1,False,0.0,23.0,1.0,True,-2.5846814971199015,-1.3449329921985553,1.3616514733915945,-2.0772225340547186,-0.9264575671381934,-0.8490360305351485,False,False
57.0,1,False,0.0,23.0,1.0,True,-2.559221994193334,-1.3628273685398682,1.384584118035706,-2.098059591501019,-0.9425341810753229,-0.8226749004648948,False,False
57.5,1,False,0.0,23.0,1.0,True,-2.2937972715087804,-1.5611001120853354,1.5588324295795042,-2.2351043342543537,-1.1565068466008226,-0.5575239556101081,False,False
58.0,1,False,0.0,23.0,1.0,True,-1.8970031213882548,-1.7431159531086102,1.6478461935083697,-2.2646412226561186,-1.4388117951380854,-0.1683539117569941,True,True
58.5,1,False,0.0,23.0,1.0,True,-1.6750868110660173,-1.741358689527166,1.6485805083335707,-2.2636925259138714,-1.5033115888574722,-0.06799228520707246,True,True
59.0,1,False,0.0,23.0,1.0,True,-1.6657986056555183,-1.7405922190253245,1.6485805083335698,-2.26367136517809,-1.5036411298723174,-0.06725648567256481,True,True
59.5,1,False,0.0,23.0,1.0,True,-1.6658030263249008,-1.738292158096451,1.648580508333568,-2.263675323666816,-1.5034477469129932,-0.06700075145998818,True,True
60.0,1,False,0.0,23.0,1.0,True,-1.6657375291476395,-1.741268531331241,1.6485805083335636,-2.263913442196298,-1.5034571879415388,-0.06691373998216976,True,False
60.5,1,True,3.0,20.0,2.0,True,-1.6658021334808444,-1.7420682803876817,1.6485805083335636,-2.263344346954291,-1.5037838206726635,-0.0673359159306326,True,True
61.0,1,False,3.0,20.0,2.0,True,-1.6658566463777547,-1.7410317190012448,1.6485805083335583,-2.263703724470963,-1.5035470739034915,-0.06722135127661222,True,True
61.5,1,False,3.0,20.0,2.0,True,-1.6658540511433273,-1.739678104004187,1.6485805083335565,-2.2633743545011447,-1.503549620276373,-0.06727501587983031,True,False
62.0,1,False,3.0,20.0,2.0,True,-1.6658852829640525,-1.74062983879808,1.6485805083335556,-2.2635559834550314,-1.5036813504806155,-0.06734758486595682,False,False
62.5,1,False,3.0,20.0,2.0,True,-1.6813015199662127,-1.7668832672672172,1.6715131528692764,-2.2420840975492196,-1.4809002534761238,-0.0902721374314499,True,False
63.0,1,False,3.0,20.0,2.0,True,-1.991905698602542,-2.0459309200921947,1.944117260893644,-2.132394800453917,-1.1785373354785813,-0.42479911215689414,True,True
63.5,1,False,3.0,20.0,2.0,True,-2.2924221937218805,-2.1277920745227767,2.043560566276427,-2.1304218891310818,-1.083654746459648,-0.5565200064248592,True,True
64.0,1,False,3.0,20.0,2.0,True,-2.2929445152094923,-2.1297020187708515,2.0435605307968876,-2.130915599720855,-1.083759921032276,-0.5570549153582913,True,True
64.5,1,False,3.0,20.0,2.0,True,-2.293050579642082,-2.1276398838493975,2.0435605307968876,-2.1303245111928666,-1.0839846471802543,-0.5570277664611201,True,True
65.0,1,True,8.0,10.0,0.0,True,-2.292859596406349,-2.128591265717814,2.0435605307968894,-2.130199611736904,-1.0841970849855214,-0.5570620564681956,True,True
65.5,1,False,8.0,10.0,0.0,True,-2.292951447974617,-2.1274903440788364,2.043560530796891,-2.1300907495900834,-1.0843342399497562,-0.5571953987412979,True,True
66.0,1,False,8.0,10.0,0.0,True,-2.2930125206670064,-2.1294581666384422,2.0435605307968885,-2.1307502222917876,-1.0843086173535852,-0.5570767818327389,True,False
66.5,1,False,8.0,10.0,0.0,True,-2.292955844995343,-2.1300297820753284,2.0435605307968894,-2.130893617586694,-1.0841021529558903,-0.557105809351436,False,False
67.0,1,False,8.0,10.0,0.0,True,-2.295780193412442,-2.126025340703575,2.0392133519973283,-2.1329895461709123,-1.0823140732227454,-0.5586560853113034,False,False
67.5,1,False,8.0,10.0,0.0,True,-2.4755524422494846,-1.930420177909645,1.8804313835106763,-2.1705327703063126,-0.9391701256260241,-0.7255271873553522,False,False
68.0,1,False,8.0,10.0,0.0,True,-2.93166436010575,-1.4009934541522497,1.7330586482310206,-2.169711633435397,-0.7875085806814193,-1.2575575915190598,True,False
68.5,1,False,8.0,10.0,0.0,True,-3.072277979243961,-1.2127808007099903,1.732382777444557,-2.169653227851051,-0.7873598650969349,-1.4711051464858178,True,True
69.0,1,False,8.0,10.0,0.0,True,-3.0756187280646445,-1.2075735175914586,1.7323827774445606,-2.169691286379128,-0.787705477825571,-1.4778495982375688,True,True
69.5,1,False,8.0,10.0,0.0,True,-3.0756590463623974,-1.20074583737137,1.7323827774445633,-2.169680129862594,-0.7872376925981159,-1.4780153210531104,True,True
